ArtikelNr;Bezeichnung;VKNetto1;EAN1
4971686521683;Sake, Koyama Honke 14% 2L;19,24;
4972776941756;Sake, Kuro Kirishima Imo 25% 720ml;23,45;
4978657112932;Sake, Meiri 15% 1.8L;0;
4901808022071;Sake, Sawanotsuru 13.5% 2L;21,76;
4901808022378;Sake, Sawanotsuru 13.5% 900ml ;10,84;
4035458204317;Sangaria Ocha 340ml;1,47;
4006599000915;Sapporo Bier Premium Lager 330ml - 4.7% vol. - bei asiafoodland.de;2,18;
4987316043463;Sato cooling Gel Pads;3,61;
16586781;Sato cooling Gel Pads;4,03;
13897210;Sato Q10 Kollagen 30ml;2,35;
0648436300037;Shikhye Rice Punch;1,26;
4972776141859;Shochu Aka Kirishima Imo 900ml;21,76;
8803237116962;Sikhae NH 238ml;1,47; 
8802521110266;Soju, 100-Year 13% 375ml;3,78;
8801147121731;Soju, BoHae  16.5% 360ml;3,78;
4906666100213;Soju, Iichiko 25% 700ml;19,24;
8801048096008;Soju, Il-Pum 25% 375ml;15,88;
4973766000897;Soju, Satsuma 25% 720ml;23,45;
4973766001078;Soju, Satsuma 25.2% 700ml ;18,49;
8801030810018;Soju, Sel-Jung-Me 14% 375ml;7,48;
8802521105019;Soju, Ye-Dam 13% 700ml;7,48;
8809005029571;Sparking Plum 350ml;1,72;
8801551102012;Sun Fuel 4EA;7,39;
4901777197114;Suntory Bebida Licor Pomelo | Strong Zero Grape;4,2;
4901777293656;Suntory Bitter Lemon 9%;4,2;
4260391653063;Suntory high Ball 9%;4,37;
4901777210912;Suntory Shikwasa 9%;4,2;
4260391650628;Suntory Ume Kanjuku 9%;4,2;
4316734123592;Terra Beer 330ml;1,76;
4936790512101;Tominaka Ulong Tea;1,51;
8801164140746;Tool triangle ;2,35;
8809253649231;Vanilla Americano;1,26;
88000817;Vegemil 190ml;0,84;
8801033903021;Vegemil 190ml * 16 PCS;12,18;
8801033775932;Vegemil 190ml Black Bean;1,01;
8801043450690;Welchis original;1,92;
8801043064088;Welchis Zero;1,92;
8801007908052;whole picked radish;3,27;
4099944000098;Wine, Red 14% 0.75L;10;
4099944000074;Wine, white 12.5% 0.75L;10;
8809253649255;Xenos Cantabile korean pouch drink - aardbei - 230 ml;1,26;
8809253644687;Xenos Cantabile korean pouch drink - bosbes - 230 ml;1,26;
8809253648234;Xenos Cantabile korean pouch drink - mango - 230 ml;1,26;
